,name,price
304,"POCO C51 (Royal Blue, 64 GB)",6999
305,"POCO C51 (Power Black, 64 GB)",6999
306,"POCO C50 (Country Green, 32 GB)",5649
307,"POCO C55 (Cool Blue, 64 GB)",7749
308,"REDMI 10 (Shadow Black, 64 GB)",9499
309,"REDMI A1+ (Light Green, 32 GB)",6599
310,"REDMI A1+ (Light Blue, 32 GB)",6599
311,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",9699
312,Cellecor E7,1327
313,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
314,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
315,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
316,"Infinix HOT 30i (Diamond White, 128 GB)",8999
317,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
318,"Infinix HOT 30i (Marigold, 128 GB)",8999
319,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
320,"Infinix SMART 7 (Night Black, 64 GB)",7299
321,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
322,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
323,"Infinix HOT 30i (Diamond White, 64 GB)",7999
324,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
325,"Infinix HOT 30i (Marigold, 64 GB)",7999
326,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
327,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
328,"POCO C51 (Royal Blue, 64 GB)",6999
329,"POCO C51 (Power Black, 64 GB)",6999
330,"POCO C50 (Country Green, 32 GB)",5649
331,"POCO C55 (Cool Blue, 64 GB)",7749
332,"REDMI 10 (Shadow Black, 64 GB)",9499
333,"REDMI A1+ (Light Green, 32 GB)",6599
334,"REDMI A1+ (Light Blue, 32 GB)",6599
335,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",9699
336,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
337,"Infinix SMART 7 (Night Black, 64 GB)",7299
338,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
339,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
340,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
341,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
342,"Infinix HOT 30i (Marigold, 128 GB)",8999
343,"Infinix HOT 30i (Diamond White, 128 GB)",8999
344,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
345,"Infinix HOT 30i (Diamond White, 64 GB)",7999
346,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
347,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
348,"Infinix HOT 30i (Marigold, 64 GB)",7999
349,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
350,"POCO C50 (Royal Blue, 32 GB)",5649
351,"POCO C51 (Royal Blue, 64 GB)",6999
352,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
