,name,price
168,"Infinix SMART 7 (Night Black, 64 GB)",7299
169,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
170,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
171,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
172,"Infinix HOT 30i (Diamond White, 64 GB)",7999
173,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
174,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
175,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
176,"Infinix HOT 30i (Marigold, 128 GB)",8999
177,"Infinix HOT 30i (Diamond White, 128 GB)",8999
178,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
179,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
180,"Infinix HOT 30i (Marigold, 64 GB)",7999
181,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
182,"POCO C50 (Royal Blue, 32 GB)",5649
183,"POCO C51 (Royal Blue, 64 GB)",6999
184,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
185,"POCO C51 (Power Black, 64 GB)",6999
186,"POCO C50 (Country Green, 32 GB)",5649
187,"REDMI 10 (Shadow Black, 64 GB)",9499
188,"POCO C55 (Cool Blue, 64 GB)",7749
189,"REDMI A1+ (Light Blue, 32 GB)",6599
190,"REDMI A1+ (Light Green, 32 GB)",6599
191,"POCO C55 (Power Black, 64 GB)",7749
192,"Infinix SMART 7 (Night Black, 64 GB)",7299
193,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
194,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
195,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
196,"Infinix HOT 30i (Marigold, 128 GB)",8999
197,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
198,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
199,"Infinix HOT 30i (Diamond White, 128 GB)",8999
200,"Infinix HOT 30i (Diamond White, 64 GB)",7999
201,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
202,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
203,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
204,"Infinix HOT 30i (Marigold, 64 GB)",7999
205,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
206,"POCO C50 (Royal Blue, 32 GB)",5649
207,"POCO C51 (Royal Blue, 64 GB)",6999
208,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
209,"POCO C51 (Power Black, 64 GB)",6999
210,"POCO C50 (Country Green, 32 GB)",5649
211,"REDMI 10 (Shadow Black, 64 GB)",9499
212,"POCO C55 (Cool Blue, 64 GB)",7749
213,"REDMI A1+ (Light Blue, 32 GB)",6599
214,"REDMI A1+ (Light Green, 32 GB)",6599
215,"POCO C55 (Power Black, 64 GB)",7749
216,"Infinix SMART 7 (Night Black, 64 GB)",7299
217,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
218,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
219,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
220,"Infinix HOT 30i (Marigold, 128 GB)",8999
221,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
222,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
223,"Infinix HOT 30i (Diamond White, 128 GB)",8999
224,"Infinix HOT 30i (Diamond White, 64 GB)",7999
225,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
226,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
227,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
228,"Infinix HOT 30i (Marigold, 64 GB)",7999
229,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
230,"POCO C50 (Royal Blue, 32 GB)",5649
231,"POCO C51 (Royal Blue, 64 GB)",6999
232,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
233,"POCO C51 (Power Black, 64 GB)",6999
234,"POCO C50 (Country Green, 32 GB)",5649
235,"REDMI 10 (Shadow Black, 64 GB)",9499
236,"POCO C55 (Cool Blue, 64 GB)",7749
237,"REDMI A1+ (Light Blue, 32 GB)",6599
238,"REDMI A1+ (Light Green, 32 GB)",6599
239,"POCO C55 (Power Black, 64 GB)",7749
240,"Infinix SMART 7 (Night Black, 64 GB)",7299
241,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
242,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
243,"Infinix Smart 7 HD (Green Apple, 64 GB)",6199
244,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
245,"Infinix HOT 30i (Marigold, 128 GB)",8999
246,"Infinix HOT 30i (Glacier Blue, 128 GB)",8999
247,"Infinix HOT 30i (Mirror Black, 128 GB)",8999
248,"Infinix HOT 30i (Diamond White, 128 GB)",8999
249,"Infinix HOT 30i (Diamond White, 64 GB)",7999
250,"Infinix HOT 30i (Mirror Black, 64 GB)",7999
251,"Infinix SMART 7 (Emerald Green, 64 GB)",7299
252,"Infinix HOT 30i (Marigold, 64 GB)",7999
253,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",7299
254,"POCO C50 (Royal Blue, 32 GB)",5649
255,"POCO C51 (Royal Blue, 64 GB)",6999
256,"MOTOROLA G32 (Mineral Gray, 128 GB)",11999
257,"POCO C51 (Power Black, 64 GB)",6999
258,"POCO C50 (Country Green, 32 GB)",5649
259,"POCO C55 (Cool Blue, 64 GB)",7749
260,"REDMI 10 (Shadow Black, 64 GB)",9499
261,"REDMI A1+ (Light Blue, 32 GB)",6599
262,"REDMI A1+ (Light Green, 32 GB)",6599
263,"POCO C55 (Power Black, 64 GB)",7749
264,"Infinix SMART 7 (Night Black, 64 GB)",7299
265,"Infinix SMART 7 (Azure Blue, 64 GB)",7299
266,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",10699
267,"Infinix HOT 30i (Glacier Blue, 64 GB)",7999
